File	Tags	Start	End	Location		Extra File
cibo	Ongoing	September 2022		Drexel University		X
ccidei_coord	Ongoing	July 2022		Drexel University's College of Computing and Informatics		
ccidei_member	Previous	October 2020	June 2022	Drexel University's College of Computing and Informatics		
drexel	Previous	September 2017	June 2022	Drexel University		
codefest	Previous,Events	March 17th, 2022		Drexel University's College of Computing and Informatics		
qwerhacks	Events	January 22nd, 2022		UCLA		
ostem	Previous	February 2021	June 2022			
ostem_fp	Previous	September 2018	May 2020			
pronouns	Resources,NOTALL					
sports	Resources,NOTALL					
workshops	Resources,NOTALL					
