Date	Name	Tags	CSS	Nav Ignore
2022-12-18	duolingo22inreview_italian	Personal, Italian	styles.css	
2022-12-18	duolingo22inreview	Personal, Italian	styles.css	
2022-12-16	cibopetition	LGBTQ+,Professional		
2022-11-26	duolingoupdate	Personal, Italian	styles.css	
2022-10-25	tranqman	Side Projects,Professional,Technical	styles.css	
2022-10-19	intlpronounsday22	LGBTQ+,Professional		
2022-09-04	postpostgrad		styles.css	
2022-08-03	piratedshirt	Side Projects	styles.css	
2022-07-03	bathroomlaws	Personal,LGBTQ+		
2022-03-29	bathroombins	LGBTQ+,Personal,Professional	styles.css	
2022-02-10	brokenlinks	Technical,Side Projects		
2022-01-22	qwerhacks	LGBTQ+,Professional	styles.css	
2022-01-22	emailtemplate	LGBTQ+,Professional	styles.css	X
2022-01-12	riowallpaper	Technical	styles.css	
2021-12-31	acmebeamer	Technical,Side Projects	styles.css	
2021-12-27	aoc2021	Personal,Technical	aoc.css	
2021-12-12	thesisproposal	Technical	styles.css	
2021-12-01	aocd1	Personal,Technical	styles.css	
2021-11-19	tdor	Personal,LGBTQ+		
2021-10-25	resizmple	Technical	styles.css	
2021-10-20	intlpronounsday	LGBTQ+,Professional		
2021-10-20	intlpndayemail	LGBTQ+,Professional		X
2021-10-20	pronouns1page	LGBTQ+,Professional		X
2021-09-18	tapiafinal	Conferences/Events		
2021-09-17	tapiafri	Conferences/Events		
2021-09-16	tapiathurs	Conferences/Events		
2021-09-15	tapiawed	Conferences/Events		
2021-09-15	tapiaintro	Conferences/Events		
2021-09-12	identitydata	Technical,LGBTQ+		
2021-08-12	ptwc2021	Conferences/Events,Personal,LGBTQ+		
2021-07-30	namechange	Personal,LGBTQ+		
2021-07-04	oneyear	Personal,LGBTQ+		
2021-06-02	oedpanel	Conferences/Events,LGBTQ+,Professional		
2021-05-13	gradawardnt	Personal		
2021-04-02	maplecomparison	Technical		
2021-02-03	creatingchange2021	Conferences/Events		
2021-01-03	rensselaer	Personal		
2020-08-30	diversity	LGBTQ+,Personal,Professional		
2020-07-24	phillystartup2	Conferences/Events,Professional		
2020-07-17	phillystartup	Professional,Conferences/Events		
2020-06-25	pokemon	Side Projects,Personal,Technical	styles.css	
2020-06-16	570	Teaching Professional		
2020-06-13	webintro	Personal,Side Projects,Technical		
