Name	Month Start	Year Start	Month End	Year End	Black Star Promos
Scarlet & Violet	March	2023			
Sword & Shield	February	2020	November	2022	SWSH
Sun & Moon	February	2017	November	2019	SM
XY	November	2013	August	2015	XY
Black & White	April	2011	November	2013	BW
Call of Legends	Febraury	2011			
HeartGold & SoulSilver	February	2010	November	2010	HGSS
Platinum	February	2009	November	2009	
Diamond & Pearl	May	2007	November	2008	DP
EX	July	2003	February	2007	EX
e-Card	September	2002	May	2003	
Legendary Collection	May	2002			
Neo	December	2000	February	2002	
Original	January	1999	October	2000	W
POP Series Promos		2004		2009	
McDonalds Promos		2011		2022	
Half Decks	April	2001	January	2014	
